"","chr","start","end","center","width"
"8750","chr2",15561015,15561393,15561204,378
"8751","chr10",104232141,104232490,104232315,349
"8752","chr1",6418997,6420878,6419937,1881
"8753","chr17",10729472,10730173,10729822,701
"8754","chr16",22297270,22298044,22297657,774
"8755","chr12",51814050,51814889,51814469,839
"8756","chr5",160370381,160370690,160370535,309
"8757","chr9",135931390,135931680,135931535,290
"8758","chr8",64373510,64374102,64373806,592
"8759","chr22",40418812,40419098,40418955,286
"8760","chr2",44167844,44169490,44168667,1646
"8761","chr6",170138700,170139711,170139205,1011
"8762","chr6",165726513,165726805,165726659,292
"8763","chr19",31279013,31279307,31279160,294
"8764","chr2",113979276,113980112,113979694,836
"8765","chr5",141702286,141703025,141702655,739
"8766","chr17",74987526,74988496,74988011,970
"8767","chr6",63635585,63636560,63636072,975
"8768","chr19",12139879,12140402,12140140,523
"8769","chr15",74127529,74130703,74129116,3174
"8770","chr8",53843016,53843617,53843316,601
"8771","chr2",176001965,176002460,176002212,495
"8772","chr8",86508344,86508887,86508615,543
"8773","chr2",201642416,201643547,201642981,1131
"8774","chr2",127400861,127401336,127401098,475
"8775","chr20",62238315,62239191,62238753,876
"8776","chr21",45914033,45914535,45914284,502
"8777","chr8",124301442,124301856,124301649,414
"8778","chr6",87589902,87590227,87590064,325
"8779","chr16",2577133,2577398,2577265,265
"8780","chr2",73984087,73985605,73984846,1518
"8781","chr21",26572691,26573327,26573009,636
"8782","chr16",86512753,86513026,86512889,273
"8783","chr2",241936451,241937003,241936727,552
"8784","chr19",57614162,57614534,57614348,372
"8785","chr14",69571391,69574945,69573168,3554
"8786","chr17",76121427,76122299,76121863,872
"8787","chr2",70248295,70249019,70248657,724
"8788","chr7",101321509,101321920,101321714,411
"8789","chr7",1483905,1484340,1484122,435
"8790","chr12",51083076,51083769,51083422,693
"8791","chr9",127692219,127692429,127692324,210
"8792","chr7",157299903,157300841,157300372,938
"8793","chr10",28925122,28925433,28925277,311
"8794","chr17",81245754,81246100,81245927,346
"8795","chr2",219176407,219178289,219177348,1882
"8796","chr1",206202466,206205885,206204175,3419
"8797","chr9",129620022,129620725,129620373,703
"8798","chr7",157336395,157337612,157337003,1217
"8799","chr8",142347640,142347863,142347751,223
"8800","chrX",153953367,153953721,153953544,354
"8801","chr6",43053387,43053956,43053671,569
"8802","chr19",42075783,42076524,42076153,741
"8803","chr4",81471456,81472272,81471864,816
"8804","chr17",443024,443541,443282,517
"8805","chr1",29121187,29125335,29123261,4148
"8806","chr9",15510178,15511234,15510706,1056
"8807","chr8",1041532,1041862,1041697,330
"8808","chr19",55849816,55851740,55850778,1924
"8809","chr5",173056112,173057410,173056761,1298
"8810","chr2",240672327,240673260,240672793,933
"8811","chr2",58428308,58428977,58428642,669
"8812","chr15",89654869,89655602,89655235,733
"8813","chr11",1574579,1574913,1574746,334
"8814","chr1",58576085,58577623,58576854,1538
"8815","chr7",1473303,1473580,1473441,277
"8816","chr11",460468,460715,460591,247
"8817","chr3",37243067,37243790,37243428,723
"8818","chr5",66596049,66597711,66596880,1662
"8819","chr2",184598119,184598862,184598490,743
"8820","chr12",51238705,51239378,51239041,673
"8821","chrX",80335221,80335508,80335364,287
"8822","chr2",111117629,111123388,111120508,5759
"8823","chr14",23094769,23095515,23095142,746
"8824","chr20",62554379,62554696,62554537,317
"8825","chr22",15760286,15760675,15760480,389
"8826","chr20",25623179,25624551,25623865,1372
"8827","chr20",63572298,63573226,63572762,928
"8828","chr10",15088387,15088914,15088650,527
"8829","chr4",16225902,16227522,16226712,1620
"8830","chr7",97117455,97117878,97117666,423
"8831","chr17",29761009,29761589,29761299,580
"8832","chr8",22130019,22131500,22130759,1481
"8833","chr20",4760699,4761299,4760999,600
"8834","chr17",81165701,81166564,81166132,863
"8835","chr6",106086261,106086510,106086385,249
"8836","chr8",38381671,38383152,38382411,1481
"8837","chr1",109910521,109911267,109910894,746
"8838","chr11",636435,640628,638531,4193
"8839","chr16",84294913,84295114,84295013,201
"8840","chr3",11642718,11643456,11643087,738
"8841","chr12",119593689,119595407,119594548,1718
"8842","chr8",94262182,94262427,94262304,245
"8843","chr22",37097664,37098134,37097899,470
"8844","chr1",210328743,210329449,210329096,706
"8845","chr3",38024252,38025331,38024791,1079
"8846","chr12",6329106,6329765,6329435,659
"8847","chr5",177433861,177434097,177433979,236
"8848","chr19",2432849,2434079,2433464,1230
"8849","chr9",105694419,105695155,105694787,736
"8850","chr20",38033432,38034093,38033762,661
"8851","chr19",1205369,1207423,1206396,2054
"8852","chr2",219279157,219279911,219279534,754
"8853","chr1",38708707,38709268,38708987,561
"8854","chr18",47150099,47150686,47150392,587
"8855","chr15",65982196,65982500,65982348,304
"8856","chr13",111114501,111116259,111115380,1758
"8857","chr20",38601880,38602099,38601989,219
"8858","chr11",114439279,114439864,114439571,585
"8859","chr1",40477112,40477715,40477413,603
"8860","chr5",134225449,134226790,134226119,1341
"8861","chr1",81800313,81803363,81801838,3050
"8862","chr20",5000956,5001744,5001350,788
"8863","chr4",164188282,164188690,164188486,408
"8864","chr13",112648992,112649226,112649109,234
"8865","chr19",1905107,1905836,1905471,729
"8866","chr19",54416728,54417051,54416889,323
"8867","chr5",178165654,178165985,178165819,331
"8868","chr16",85011124,85011830,85011477,706
"8869","chr11",118572301,118572916,118572608,615
"8870","chr1",218346945,218347164,218347054,219
"8871","chr6",41636845,41638925,41637885,2080
"8872","chr3",120596111,120596643,120596377,532
"8873","chr1",1782200,1782702,1782451,502
"8874","chr5",176133202,176133731,176133466,529
"8875","chr12",110468074,110469378,110468726,1304
"8876","chr5",17354291,17354629,17354460,338
"8877","chr22",42553586,42554298,42553942,712
"8878","chr3",156554847,156555310,156555078,463
"8879","chr5",132496663,132497202,132496932,539
"8880","chr12",53321349,53321732,53321540,383
"8881","chr21",45898595,45898986,45898790,391
"8882","chr11",134341865,134342717,134342291,852
"8883","chr2",238100431,238100720,238100575,289
"8884","chr2",172735553,172736242,172735897,689
"8885","chr1",39954815,39955694,39955254,879
"8886","chr16",89489407,89491345,89490376,1938
"8887","chr9",127611829,127612606,127612217,777
"8888","chr7",42236404,42237855,42237129,1451
"8889","chr12",49389182,49389410,49389296,228
"8890","chr10",123134559,123137850,123136204,3291
"8891","chr5",96702505,96703180,96702842,675
"8892","chr13",21060380,21061768,21061074,1388
"8893","chr1",2968497,2968719,2968608,222
"8894","chr10",100229370,100229776,100229573,406
"8895","chr6",10694384,10695119,10694751,735
"8896","chr1",30807274,30807665,30807469,391
"8897","chr19",39409499,39410248,39409873,749
"8898","chr6",42960480,42961072,42960776,592
"8899","chr10",37780658,37781018,37780838,360
"8900","chr11",111765870,111766490,111766180,620
"8901","chr6",27312015,27312856,27312435,841
"8902","chr19",14081175,14081960,14081567,785
"8903","chr4",143513096,143514190,143513643,1094
"8904","chr16",54122041,54122268,54122154,227
"8905","chr9",137370909,137371576,137371242,667
"8906","chr13",113088422,113088705,113088563,283
"8907","chr11",235918,237290,236604,1372
"8908","chr1",3543310,3543705,3543507,395
"8909","chr4",651015,651311,651163,296
"8910","chr22",30396898,30397323,30397110,425
"8911","chr16",89570738,89571332,89571035,594
"8912","chr12",49366438,49367653,49367045,1215
"8913","chr19",54415229,54415654,54415441,425
"8914","chr2",101001785,101002196,101001990,411
"8915","chr12",113221233,113221852,113221542,619
"8916","chr8",65633823,65634165,65633994,342
"8917","chr10",419988,420456,420222,468
"8918","chr7",27130091,27131019,27130555,928
"8919","chr1",179025723,179026782,179026252,1059
"8920","chr8",143085054,143085370,143085212,316
"8921","chr1",9234342,9235393,9234867,1051
"8922","chr12",25386249,25386490,25386369,241
"8923","chr17",81406559,81406923,81406741,364
"8924","chr16",2696894,2697110,2697002,216
"8925","chr22",38843004,38844420,38843712,1416
"8926","chr1",230642331,230642847,230642589,516
"8927","chr4",141132173,141133447,141132810,1274
"8928","chr6",5084282,5086798,5085540,2516
"8929","chr11",66069783,66071178,66070480,1395
"8930","chr3",58332767,58333465,58333116,698
"8931","chr21",44723527,44723893,44723710,366
"8932","chr2",42360932,42361735,42361333,803
"8933","chr9",136977785,136979061,136978423,1276
"8934","chr6",116680935,116681634,116681284,699
"8935","chr13",102596463,102597642,102597052,1179
"8936","chr7",88219688,88220279,88219983,591
"8937","chr19",12333218,12333734,12333476,516
"8938","chr8",60173566,60173768,60173667,202
"8939","chr19",10106136,10106664,10106400,528
"8940","chr8",89757307,89758229,89757768,922
"8941","chr10",73874028,73875038,73874533,1010
"8942","chr1",196878028,196878288,196878158,260
"8943","chr1",91500706,91501442,91501074,736
"8944","chr19",9309573,9309905,9309739,332
"8945","chr7",6058793,6059351,6059072,558
"8946","chr19",10418951,10421328,10420139,2377
"8947","chr22",37849334,37849674,37849504,340
"8948","chr19",47745472,47745853,47745662,381
"8949","chr6",6002287,6004772,6003529,2485
"8950","chr21",25562111,25562493,25562302,382
"8951","chr16",59754888,59755168,59755028,280
"8952","chr7",6081198,6081767,6081482,569
"8953","chr4",1346286,1347683,1346984,1397
"8954","chr2",38074133,38077376,38075754,3243
"8955","chr1",6701235,6702071,6701653,836
"8956","chr19",703859,704279,704069,420
"8957","chr7",157663097,157663352,157663224,255
"8958","chr1",230066747,230068462,230067604,1715
"8959","chr5",20305453,20305827,20305640,374
"8960","chr2",732036,733096,732566,1060
"8961","chr8",143858061,143866649,143862355,8588
"8962","chr9",92715014,92715426,92715220,412
"8963","chr21",13979587,13980337,13979962,750
"8964","chr11",130427506,130428622,130428064,1116
"8965","chr1",156859012,156861310,156860161,2298
"8966","chr16",1705823,1706678,1706250,855
"8967","chr1",215567164,215567923,215567543,759
"8968","chr11",6570730,6571553,6571141,823
"8969","chr22",41946403,41947274,41946838,871
"8970","chr1",211382597,211382990,211382793,393
"8971","chr11",18455751,18456209,18455980,458
"8972","chr2",241355262,241356786,241356024,1524
"8973","chr3",47380592,47381689,47381140,1097
"8974","chr7",151204464,151204892,151204678,428
"8975","chr12",54019206,54019562,54019384,356
"8976","chr5",74685142,74685696,74685419,554
"8977","chr1",203305169,203306210,203305689,1041
"8978","chr9",132198128,132198618,132198373,490
"8979","chr8",73008623,73009317,73008970,694
"8980","chr1",229507966,229508546,229508256,580
"8981","chr8",90645161,90646551,90645856,1390
"8982","chr11",44949497,44951134,44950315,1637
"8983","chr1",165352466,165353081,165352773,615
"8984","chr10",120948997,120949386,120949191,389
"8985","chr1",151008259,151008616,151008437,357
"8986","chr19",35030258,35031303,35030780,1045
"8987","chr5",172959295,172959539,172959417,244
"8988","chr7",92589746,92590559,92590152,813
"8989","chr19",7647151,7647469,7647310,318
"8990","chr5",122076805,122078394,122077599,1589
"8991","chr8",102123686,102124547,102124116,861
"8992","chr1",17119156,17119593,17119374,437
"8993","chr5",51399150,51399518,51399334,368
"8994","chr5",139403803,139404223,139404013,420
"8995","chr6",5851377,5851608,5851492,231
"8996","chr4",212588,213103,212845,515
"8997","chr11",66267280,66269337,66268308,2057
"8998","chr6",75204989,75206671,75205830,1682
"8999","chr19",1014274,1014579,1014426,305
"9000","chrX",118879014,118879316,118879165,302
"9001","chr6",27519033,27519290,27519161,257
"9002","chr2",128736785,128737500,128737142,715
"9003","chr4",48341072,48342312,48341692,1240
"9004","chr7",773990,774755,774372,765
"9005","chr19",36113457,36116004,36114730,2547
"9006","chr2",110678530,110678852,110678691,322
"9007","chr11",17544219,17544505,17544362,286
"9008","chr2",65129601,65130840,65130220,1239
"9009","chr22",43862231,43862732,43862481,501
"9010","chr16",88737394,88737704,88737549,310
"9011","chr1",50977639,50978364,50978001,725
"9012","chr3",62368616,62369337,62368976,721
"9013","chr13",114075443,114076105,114075774,662
"9014","chr8",73878107,73879177,73878642,1070
"9015","chr2",7430940,7431511,7431225,571
"9016","chr7",150974510,150975282,150974896,772
"9017","chr2",218568044,218569371,218568707,1327
"9018","chrX",153672993,153674089,153673541,1096
"9019","chr9",130579242,130580109,130579675,867
"9020","chr6",145963659,145964565,145964112,906
"9021","chr2",209808568,209808822,209808695,254
"9022","chrX",65822054,65822462,65822258,408
"9023","chr3",194583822,194584322,194584072,500
"9024","chr8",28622118,28623281,28622699,1163
"9025","chr11",9003548,9004768,9004158,1220
"9026","chr2",85772234,85772506,85772370,272
"9027","chr17",17205457,17206982,17206219,1525
"9028","chr3",49029140,49029550,49029345,410
"9029","chr10",18659184,18659782,18659483,598
"9030","chr12",53006088,53007112,53006600,1024
"9031","chr7",21427028,21428188,21427608,1160
"9032","chr4",2007987,2009701,2008844,1714
"9033","chr9",136118016,136119465,136118740,1449
"9034","chr1",121395924,121397197,121396560,1273
"9035","chr1",19882314,19882969,19882641,655
"9036","chr16",56931822,56932511,56932166,689
"9037","chrX",40735263,40736205,40735734,942
"9038","chr4",336373,338279,337326,1906
"9039","chr2",74502272,74504039,74503155,1767
"9040","chr2",868244,869405,868824,1161
"9041","chr13",112587397,112588342,112587869,945
"9042","chr5",55176393,55176701,55176547,308
"9043","chr7",135977093,135977524,135977308,431
"9044","chr1",36306229,36307408,36306818,1179
"9045","chr3",184525297,184526118,184525707,821
"9046","chr7",101688362,101688624,101688493,262
"9047","chr19",9768476,9769060,9768768,584
"9048","chr2",131217818,131218058,131217938,240
"9049","chr1",21814406,21814914,21814660,508
"9050","chr12",26114125,26114586,26114355,461
"9051","chr1",1978829,1982361,1980595,3532
"9052","chr16",89668577,89668781,89668679,204
"9053","chr19",56339288,56339852,56339570,564
"9054","chr14",49633597,49635291,49634444,1694
"9055","chr2",55923205,55923813,55923509,608
"9056","chrX",104250329,104250628,104250478,299
"9057","chr4",128060655,128062323,128061489,1668
"9058","chr11",68839296,68839862,68839579,566
"9059","chr1",217089656,217089872,217089764,216
"9060","chr6",10389937,10390332,10390134,395
"9061","chr19",17859504,17860314,17859909,810
"9062","chr19",18605419,18607933,18606676,2514
"9063","chr16",2127127,2127328,2127227,201
"9064","chr3",50226253,50226476,50226364,223
"9065","chr6",30717059,30717726,30717392,667
"9066","chr20",40687399,40687682,40687540,283
"9067","chr4",99653246,99653497,99653371,251
"9068","chr1",153958070,153958654,153958362,584
"9069","chr16",1390473,1390688,1390580,215
"9070","chr1",161314328,161314661,161314494,333
"9071","chr17",11598314,11599011,11598662,697
"9072","chr1",85259018,85259841,85259429,823
"9073","chr5",1270663,1270986,1270824,323
"9074","chr11",68433650,68433853,68433751,203
"9075","chrY",6520342,6520611,6520476,269
"9076","chr20",46406084,46406779,46406431,695
"9077","chr1",77759158,77759965,77759561,807
"9078","chr11",65872364,65873903,65873133,1539
"9079","chr12",54280030,54281204,54280617,1174
"9080","chr2",241985293,241985902,241985597,609
"9081","chr7",149195332,149196189,149195760,857
"9082","chr21",40841584,40842020,40841802,436
"9083","chr1",19679017,19679372,19679194,355
"9084","chr15",89367290,89368946,89368118,1656
"9085","chr7",28853836,28854441,28854138,605
"9086","chr17",2697681,2698686,2698183,1005
"9087","chr15",66039752,66040015,66039883,263
"9088","chr1",200669484,200670256,200669870,772
"9089","chr12",84912841,84913050,84912945,209
"9090","chr3",47008996,47010119,47009557,1123
"9091","chr19",58562046,58563388,58562717,1342
"9092","chr3",11846325,11847064,11846694,739
"9093","chr9",101449175,101449548,101449361,373
"9094","chr11",129372634,129376500,129374567,3866
"9095","chr9",136799531,136800628,136800079,1097
"9096","chr1",156813731,156814245,156813988,514
"9097","chr1",20786215,20787628,20786921,1413
"9098","chr9",127404533,127404912,127404722,379
"9099","chr7",155812031,155812401,155812216,370
"9100","chr3",126523940,126524170,126524055,230
"9101","chr1",14923877,14925049,14924463,1172
"9102","chr7",66628361,66629332,66628846,971
"9103","chr1",155227119,155227743,155227431,624
"9104","chr22",39519617,39520992,39520304,1375
"9105","chrX",57909244,57910487,57909865,1243
"9106","chr8",103414666,103415595,103415130,929
"9107","chr1",203487656,203487931,203487793,275
"9108","chr5",81749978,81752030,81751004,2052
"9109","chr21",43757639,43757846,43757742,207
"9110","chr19",37817238,37817886,37817562,648
"9111","chr1",36450195,36450723,36450459,528
"9112","chr20",48636396,48636680,48636538,284
"9113","chr12",132731902,132733748,132732825,1846
"9114","chr3",196712003,196712863,196712433,860
"9115","chr5",755758,756139,755948,381
"9116","chr1",220093972,220094592,220094282,620
"9117","chr6",30101973,30102383,30102178,410
"9118","chr2",88055321,88056055,88055688,734
"9119","chr17",40177606,40178543,40178074,937
"9120","chrX",139931703,139933332,139932517,1629
"9121","chr1",201226902,201227139,201227020,237
"9122","chr11",125111423,125111873,125111648,450
"9123","chr19",1862257,1864943,1863600,2686
"9124","chr11",133832650,133833813,133833231,1163
"9125","chr11",111878846,111879354,111879100,508
"9126","chr19",5843853,5844362,5844107,509
"9127","chr1",180953779,180954556,180954167,777
"9128","chr22",20917075,20918328,20917701,1253
"9129","chr14",23006713,23007218,23006965,505
"9130","chr1",116534420,116534677,116534548,257
"9131","chr8",1546939,1547167,1547053,228
"9132","chr2",121225750,121226164,121225957,414
"9133","chr5",170861875,170862643,170862259,768
"9134","chr8",81841819,81842241,81842030,422
"9135","chr10",58267247,58269481,58268364,2234
"9136","chr21",31731143,31732662,31731902,1519
"9137","chr11",20363615,20364127,20363871,512
"9138","chr8",109333687,109334675,109334181,988
"9139","chr5",58459507,58460976,58460241,1469
"9140","chr1",47433453,47433726,47433589,273
"9141","chr2",178413600,178413942,178413771,342
"9142","chr10",21499704,21500659,21500181,955
"9143","chr10",959471,959885,959678,414
"9144","chr20",44115682,44116383,44116032,701
"9145","chr8",143739841,143740635,143740238,794
"9146","chr12",72271903,72273771,72272837,1868
"9147","chr1",59296430,59297122,59296776,692
"9148","chr16",1464411,1464858,1464634,447
"9149","chr5",60944952,60945663,60945307,711
"9150","chr1",3194583,3195345,3194964,762
"9151","chr17",4947647,4950612,4949129,2965
"9152","chr3",62378342,62378641,62378491,299
"9153","chr3",138187193,138188019,138187606,826
"9154","chr3",128075526,128077293,128076409,1767
"9155","chr1",154325562,154326068,154325815,506
"9156","chrX",49191378,49191948,49191663,570
"9157","chr19",461598,462256,461927,658
"9158","chr16",58515123,58516335,58515729,1212
"9159","chr1",52927208,52927973,52927590,765
"9160","chr1",25232072,25232687,25232379,615
"9161","chr2",100818517,100820991,100819754,2474
"9162","chr6",157822569,157824003,157823286,1434
"9163","chr1",9128444,9129417,9128930,973
"9164","chr19",47273113,47275483,47274298,2370
"9165","chr19",27805935,27806195,27806065,260
"9166","chr11",65711878,65712553,65712215,675
"9167","chr5",134524251,134527738,134525994,3487
"9168","chr17",48429982,48430237,48430109,255
"9169","chr8",144618560,144618908,144618734,348
"9170","chr8",134478543,134478843,134478693,300
"9171","chr17",7915620,7916445,7916032,825
"9172","chr1",936259,936492,936375,233
"9173","chr3",125595142,125595681,125595411,539
"9174","chr5",150297415,150298188,150297801,773
"9175","chr20",34302753,34303572,34303162,819
"9176","chr1",15409554,15410732,15410143,1178
"9177","chr17",62808047,62808496,62808271,449
"9178","chr5",178994224,178995336,178994780,1112
"9179","chr8",101080566,101080910,101080738,344
"9180","chr1",224929518,224930079,224929798,561
"9181","chr1",167553232,167553833,167553532,601
"9182","chr2",96815619,96817539,96816579,1920
"9183","chr8",41895822,41897732,41896777,1910
"9184","chr1",21176622,21177343,21176982,721
"9185","chr16",1157042,1157948,1157495,906
"9186","chr11",66842895,66843796,66843345,901
"9187","chr1",9495320,9495593,9495456,273
"9188","chr5",160418989,160419253,160419121,264
"9189","chr3",185823260,185826358,185824809,3098
"9190","chr17",68599977,68601437,68600707,1460
"9191","chrX",136496842,136497940,136497391,1098
"9192","chr1",152107521,152112739,152110130,5218
"9193","chr10",133047670,133048064,133047867,394
"9194","chr12",25250332,25251577,25250954,1245
"9195","chr2",202032663,202036149,202034406,3486
"9196","chr1",113811751,113812678,113812214,927
"9197","chr1",2411946,2413278,2412612,1332
"9198","chrX",100406655,100411383,100409019,4728
"9199","chr5",140807207,140807683,140807445,476
"9200","chr3",10358697,10358902,10358799,205
"9201","chr10",43436510,43437224,43436867,714
"9202","chr22",40950632,40951755,40951193,1123
"9203","chr4",99946171,99947005,99946588,834
"9204","chr12",123269502,123269826,123269664,324
"9205","chr8",96144535,96145747,96145141,1212
"9206","chr6",159800114,159800461,159800287,347
"9207","chr16",1006845,1007053,1006949,208
"9208","chrX",47482488,47483298,47482893,810
"9209","chr4",184733351,184734361,184733856,1010
"9210","chr12",121712742,121713185,121712963,443
"9211","chrX",74536395,74536949,74536672,554
"9212","chr5",133611053,133612776,133611914,1723
"9213","chr10",128149464,128150835,128150149,1371
"9214","chr16",67537507,67538825,67538166,1318
"9215","chr16",10941639,10942839,10942239,1200
"9216","chr19",49513274,49513594,49513434,320
"9217","chr3",8501515,8501893,8501704,378
"9218","chr2",199461948,199464958,199463453,3010
"9219","chr20",52191259,52192286,52191772,1027
"9220","chr6",105981236,105981897,105981566,661
"9221","chr3",79018913,79019416,79019164,503
"9222","chr19",612989,614016,613502,1027
"9223","chr6",156396937,156397413,156397175,476
"9224","chr2",496823,497038,496930,215
"9225","chr17",48107474,48107812,48107643,338
"9226","chr11",67443648,67443853,67443750,205
"9227","chr6",111259160,111259591,111259375,431
"9228","chr7",33129062,33129631,33129346,569
"9229","chr3",51715738,51716045,51715891,307
"9230","chr1",6148656,6148979,6148817,323
"9231","chr13",113974174,113974478,113974326,304
"9232","chr3",126982529,126984441,126983485,1912
"9233","chr12",131928793,131930256,131929524,1463
"9234","chr19",41844612,41845294,41844953,682
"9235","chr2",74529096,74530803,74529949,1707
"9236","chr7",134986368,134986999,134986683,631
"9237","chr11",117518471,117518756,117518613,285
"9238","chrX",151082405,151082730,151082567,325
"9239","chr4",24470077,24473306,24471691,3229
"9240","chr6",31901004,31902308,31901656,1304
"9241","chr10",68720947,68721841,68721394,894
"9242","chr12",104303570,104304206,104303888,636
"9243","chr4",116599275,116599564,116599419,289
"9244","chr4",14862884,14863177,14863030,293
"9245","chr16",89200983,89202457,89201720,1474
"9246","chr5",134371329,134372201,134371765,872
"9247","chr19",12294511,12294756,12294633,245
"9248","chr17",63773324,63774702,63774013,1378
"9249","chr16",29613066,29614070,29613568,1004
"9250","chr17",39596570,39596994,39596782,424
"9251","chr1",3690532,3690989,3690760,457
"9252","chr16",70380526,70381962,70381244,1436
"9253","chr20",59604753,59605732,59605242,979
"9254","chr3",132417129,132417775,132417452,646
"9255","chr11",19345106,19345799,19345452,693
"9256","chr3",49723430,49724462,49723946,1032
"9257","chr7",23473915,23474793,23474354,878
"9258","chr11",85854865,85855408,85855136,543
"9259","chr7",1845397,1845766,1845581,369
"9260","chr17",75666919,75667548,75667233,629
"9261","chr5",77958008,77958225,77958116,217
"9262","chr5",31193845,31194312,31194078,467
"9263","chr5",141478297,141478498,141478397,201
"9264","chr2",68251763,68252908,68252335,1145
"9265","chr3",172710626,172711160,172710893,534
"9266","chr3",155870220,155871813,155871016,1593
"9267","chr12",114400507,114401084,114400795,577
"9268","chr6",158536188,158537645,158536916,1457
"9269","chr6",111482353,111484306,111483329,1953
"9270","chr13",48975686,48976906,48976296,1220
"9271","chr17",76007098,76009413,76008255,2315
"9272","chr5",76174143,76174348,76174245,205
"9273","chr13",113633218,113633501,113633359,283
"9274","chr6",133891552,133891960,133891756,408
"9275","chr16",53373415,53373842,53373628,427
"9276","chr2",241677405,241677679,241677542,274
"9277","chr16",47460786,47461296,47461041,510
"9278","chr19",10353990,10354251,10354120,261
"9279","chr10",60943549,60944532,60944040,983
"9280","chr1",54542031,54542775,54542403,744
"9281","chr19",3938288,3938549,3938418,261
"9282","chr18",37566074,37567665,37566869,1591
"9283","chr5",177472787,177473635,177473211,848
"9284","chr3",158105184,158106047,158105615,863
"9285","chr6",26045416,26045805,26045610,389
"9286","chr17",81135898,81136111,81136004,213
"9287","chr2",213152026,213152381,213152203,355
"9288","chr10",104639809,104643054,104641431,3245
"9289","chr19",54461245,54461558,54461401,313
"9290","chr16",2428685,2429967,2429326,1282
"9291","chr6",150057702,150057912,150057807,210
"9292","chr5",172454131,172454814,172454472,683
"9293","chr3",44976018,44976644,44976331,626
"9294","chr2",136116516,136118454,136117485,1938
"9295","chr19",19618318,19619005,19618661,687
"9296","chr2",174729790,174730527,174730158,737
"9297","chr6",149749377,149750149,149749763,772
"9298","chr16",25691634,25693310,25692472,1676
"9299","chr3",66220650,66221292,66220971,642
"9300","chr14",93938889,93939824,93939356,935
"9301","chr19",37719206,37719791,37719498,585
"9302","chr22",19788673,19788931,19788802,258
"9303","chr6",93416554,93417813,93417183,1259
"9304","chrX",76029493,76029793,76029643,300
"9305","chr22",50165986,50166693,50166339,707
"9306","chr12",65729008,65729548,65729278,540
"9307","chr19",9854268,9854757,9854512,489
"9308","chr2",95526307,95527324,95526815,1017
"9309","chr8",117520616,117521072,117520844,456
"9310","chr5",76170779,76171092,76170935,313
"9311","chr16",88891852,88892150,88892001,298
"9312","chr20",57110281,57110776,57110528,495
"9313","chr5",172770479,172772603,172771541,2124
"9314","chr11",126062187,126063108,126062647,921
"9315","chr17",46260035,46260560,46260297,525
"9316","chr20",25584801,25585604,25585202,803
"9317","chr11",472781,473065,472923,284
"9318","chr18",79576081,79576282,79576181,201
"9319","chr6",26538268,26538787,26538527,519
"9320","chr19",10095948,10096675,10096311,727
"9321","chr10",35639382,35642965,35641173,3583
"9322","chr10",103396063,103396727,103396395,664
"9323","chr4",107035398,107036288,107035843,890
"9324","chr1",27568416,27569013,27568714,597
"9325","chr5",179023629,179024215,179023922,586
"9326","chr5",159096898,159097590,159097244,692
"9327","chr16",67935387,67936515,67935951,1128
"9328","chr5",132410533,132411184,132410858,651
"9329","chr7",6374303,6375089,6374696,786
"9330","chr10",11742015,11742938,11742476,923
"9331","chr16",234479,235396,234937,917
"9332","chr4",155953588,155953931,155953759,343
"9333","chr17",49996686,49997250,49996968,564
"9334","chr2",96115667,96117187,96116427,1520
"9335","chr4",48269345,48269812,48269578,467
"9336","chr17",49971589,49973252,49972420,1663
"9337","chr1",8878254,8879287,8878770,1033
"9338","chr1",203075594,203076262,203075928,668
"9339","chr1",40665439,40665816,40665627,377
"9340","chr16",679438,685815,682626,6377
"9341","chr18",11750954,11752757,11751855,1803
"9342","chr10",132065501,132065751,132065626,250
"9343","chr6",132814225,132814690,132814457,465
"9344","chr2",202376644,202377695,202377169,1051
"9345","chr11",61752269,61752882,61752575,613
"9346","chrX",8801136,8801518,8801327,382
"9347","chr6",109482891,109483289,109483090,398
"9348","chr2",99593685,99594029,99593857,344
"9349","chr4",140755766,140757016,140756391,1250
"9350","chr16",899658,899960,899809,302
"9351","chr4",3746497,3746854,3746675,357
"9352","chr19",7873447,7874894,7874170,1447
"9353","chr12",40692720,40693300,40693010,580
"9354","chrX",7147652,7148447,7148049,795
"9355","chr7",157784993,157785250,157785121,257
"9356","chr4",15778375,15779106,15778740,731
"9357","chr17",5468528,5468998,5468763,470
"9358","chr15",41230630,41231534,41231082,904
"9359","chr17",1491145,1492078,1491611,933
"9360","chr19",3556964,3558295,3557629,1331
"9361","chr8",56157128,56157488,56157308,360
"9362","chr2",127885526,127886833,127886179,1307
"9363","chr4",5887476,5888918,5888197,1442
"9364","chr5",1463228,1463736,1463482,508
"9365","chr15",89628434,89628673,89628553,239
"9366","chr4",535377,535767,535572,390
"9367","chr4",108171422,108171683,108171552,261
"9368","chrX",51894734,51894980,51894857,246
"9369","chr8",141173333,141173668,141173500,335
"9370","chr17",82000212,82000493,82000352,281
"9371","chr8",11769582,11770159,11769870,577
"9372","chr12",93570187,93573619,93571903,3432
"9373","chr10",133083186,133083647,133083416,461
"9374","chr17",47850845,47851344,47851094,499
"9375","chr16",49876298,49876952,49876625,654
"9376","chr8",12754053,12756053,12755053,2000
"9377","chr11",430814,431775,431294,961
"9378","chr16",85750256,85751525,85750890,1269
"9379","chr19",41363768,41364228,41363998,460
